Métier;Secteur;Nombre d'enregistrements;RIASEC Maj;RIASEC min;
Huissier de justice;Droit, Justice;1;;;
Hydraulicien;Environnement, Eau, Nature, Propreté;2;;;
Hydrobiologiste;Environnement, Eau, Nature, Propreté;1;;;
Illustrateur;Design, Graphisme, Multimédia;2;;;
Industriel;Industrie, Maintenance, Energie;1;;;
Infirmier;Paramédical;59;S;I;
Infirmier anesthésiste;Paramédical;3;;;
Infirmier Puériculteur;Paramédical;4;;;
Infographiste 2D/3D;Design, Graphisme, Multimédia;3;;;
Informateur jeunesse;Social, Vie associative;3;;;
Informatrice jeunesse;Social, Vie associative;1;;;
Ingénieur aéronautique;Aérien, Aéronautique et Aéroportuaire;22;E;I;
Ingénieur agronome;Agriculture, Elevage, Pêche;4;;;
Ingénieur biologiste;Biologie, Chimie, Pharmacie;2;;;
Ingénieur chimiste;Biologie, Chimie, Pharmacie;9;E;I;
Ingénieur d'études - Automobile;Automobile;4;;;
Ingénieur d'études des milieux naturels;Environnement, Eau, Nature, Propreté;2;;;
Ingénieur d'études et de fabrications;Défense, Sécurité;8;;;
Ingénieur de production;Industrie, Maintenance, Energie;5;;;
